SKU,qty,price,regular_price
31000900007,41,21020,22360
31000900006,125,16820,17890
31000900005,1602,15450,16400
31000900004,1683,12620,13420
31000900003,513,10520,11190
31000900002,1145,8420,8950
40000600006,86,,15940
40000600005,116,,15940
40000600004,82,,15940
1001300183,5,,16400
1001300185,60,,4900
1001300187,5,,2070
1001300538,31,,24600
20000100007,1,,4790
43000400050,1,,39900
4000600052,1,,105000
4000500033,1,,169990
4000500031,1,,215900
4000400033,1,,189990
4000300084,1,,269990
4000300010,1,,319990
4000200093,1,,2969990
4000200031,1,,939900
4000200009,1,,479000
4000100055,1,,419900
47000100102,6,,36990
47000100076,2,,79900
47000100016,1,,9900
47000100096,2,,59900
47000100031,5,,9900
47000100071,3,,49500
47000100079,2,,67900
47000100085,1,,159990
47000100041,1,,99990
47000100086,1,,16900
47000100035,1,,79900
47000100004,1,,59990
45000600090,1,,13900
45000200215,1,,56900
45000200371,1,,44900
45000400106,1,,94990
45000400105,1,,69990
45000600089,1,,22500
45000600067,1,,25900
45000600088,1,,11900
45000400012,1,,14900
45000400073,1,,52900
45000400099,1,,36990
45000100069,1,,8900
45000500018,1,,44900
45000200168,1,,54900
45000400090,1,,15990
45000400055,1,,59900
3000400049,8,,346900
13002500082,1,,15850
13002500068,1,,18550
5000400251,1,,1479990
5000400250,1,,1369990
5000400283,1,,1299990
3000400013,1,,819990
3000200127,2,,1290
3000200226,1,,79990
3000200225,1,,89990
3000200224,1,,70000
3000200223,1,,55500
3000200087,2,,5900
3000300029,1,,16900
3000300120,1,,15900
3000200064,1,,67500
3000200062,1,,53000
3001200213,1,,6990
36000100448,8,,12590
36000100628,6,,15950
28001700003,10,,1250
30000700337,18,,2050
5000100004,11,,144900
5000100051,12,,143330
5000400181,1,,603300
5000400180,1,,503000
5000400178,1,,462600
5000400054,1,,477500
5000400053,1,,398000
5000400052,1,,354000
9001700130,1,,258600
9001700115,1,,185250
9001700107,1,,312050
9001700178,1,,294000
9001700181,1,,395600
9001700180,1,,362000
9001700186,1,115990,138900
9001700124,1,,325330
9001700057,1,,351250
9001700056,1,,425150
9001700111,2,,451800
9001700136,2,,485350
